ASUC General Election 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubmissionId,"In last year’s election,the student body approved the Constitutional Clarity & Consistency Amendment 2015 to resolve current loopholes and inconsistencies in the ASUC Constitution,bring up to date the foundational document of the ASUC,simplify the document to be more accessible to students and leaders,and allow the ASUC to function more efficiently and equitably for long­term success. This amendment makes further technical changes to the Constitution to accomplish these goals. The language of the amendment,including footnotes describing the rationale for each change,is provided in the Elections Information Guide. Do you approve the ratification of the Constitutional Clarity & Consistency Amendment 2016?",Proposition A: Constitutional Clarity & Consistency Amendment 2016,"The Ink Initiative Fee,a $2.50 per semester fee assessed to all students in the spring and fall semesters,would provide The Daily Californian,Berkeley’s independent newspaper,with the financial support necessary to (1) continue printing and distributing free newspapers across the campus and surrounding areas and (2) expand its online capacities (3) maintain itself as a training ground for UC Berkeley students in reporting,graphic and web design,and business operations. The Ink Initiative,subject to an annual inflation adjustment based on the San Francisco Area Consumer Price Index,would last for five years — beginning in fall 2017 and ending in spring 2022 — with 33 percent returning to financial aid for all students. It would not apply to students during the Summer Session. Do you approve this $2.50 semesterly fee?",Proposition B: Ink Initiative Student Fee,"The existing $6.00 per student per semester The Green Initiative Fund (TGIF) Fee has awarded more than $2 million to 149 campus sustainability projects and over 240 student environmental internships since 2007. In order to continue funding impactful environmental sustainability projects,new student internships,and sustainability programming and initiatives through the Student Environmental Resource Center at UC Berkeley,do you approve the renewal and increase of The Green Initiative Fund Fee at $8.00 per student per semester?",Proposition C: The Green Initiative Fund Student Fee,"Do you support the Declaration of and Action to Mitigate the Student Housing Crisis which:(1) Declares that UC Berkeley students are suffering from a housing crisis; and,(2) Demands the University of California,Berkeley work in good faith with the ASUC to build at least 6000 additional beds of student housing near campus and run by the university or a housing nonprofit (such as the Berkeley Student Cooperative) over the next 10 years; and,(3) Directs the ASUC to create and regularly update a comprehensive plan for addressing the student housing crisis?",Proposition D: Declaration of and Action to Mitigate the Student Housing Crisis,President - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",President - 2,President - 3,President - 4,President - 5,Executive Vice President - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",Executive Vice President - 2,Executive Vice President - 3,External Affairs Vice President - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",External Affairs Vice President - 2,External Affairs Vice President - 3,Academic Affairs Vice President - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",Academic Affairs Vice President - 2,Academic Affairs Vice President - 3,Student Advocate - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",Student Advocate - 2,Senate - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",Senate - 2,Senate - 3,Senate - 4,Senate - 5,Senate - 6,Senate - 7,Senate - 8,Senate - 9,Senate - 10,Senate - 11,Senate - 12,Senate - 13,Senate - 14,Senate - 15,Senate - 16,Senate - 17,Senate - 18,Senate - 19,Senate - 20,Senate - 21,Senate - 22,Senate - 23,Senate - 24,Senate - 25,Senate - 26,Senate - 27,Senate - 28,Senate - 29,Senate - 30,Senate - 31,Senate - 32,Senate - 33,Senate - 34,Senate - 35,Senate - 36,Senate - 37,Senate - 38,Senate - 39,Senate - 40,Senate - 41,Senate - 42,Senate - 43,Senate - 44,Senate - 45,Senate - 46,"In last year’s election,the student body approved the Constitutional Clarity & Consistency Amendment 2015 to resolve current loopholes and inconsistencies in the ASUC Constitution,bring up to date the foundational document of the ASUC,simplify the document to be more accessible to students and leaders,and allow the ASUC to function more efficiently and equitably for long­term success. This amendment makes further technical changes to the Constitution to accomplish these goals. The language of the amendment,including footnotes describing the rationale for each change,is provided in the Elections Information Guide. Do you approve the ratification of the Constitutional Clarity & Consistency Amendment 2016?",Proposition A: Constitutional Clarity & Consistency Amendment 2016,"The Ink Initiative Fee,a $2.50 per semester fee assessed to all students in the spring and fall semesters,would provide The Daily Californian,Berkeley’s independent newspaper,with the financial support necessary to (1) continue printing and distributing free newspapers across the campus and surrounding areas and (2) expand its online capacities (3) maintain itself as a training ground for UC Berkeley students in reporting,graphic and web design,and business operations. The Ink Initiative,subject to an annual inflation adjustment based on the San Francisco Area Consumer Price Index,would last for five years — beginning in fall 2017 and ending in spring 2022 — with 33 percent returning to financial aid for all students. It would not apply to students during the Summer Session. Do you approve this $2.50 semesterly fee?",Proposition B: Ink Initiative Student Fee,"The existing $6.00 per student per semester The Green Initiative Fund (TGIF) Fee has awarded more than $2 million to 149 campus sustainability projects and over 240 student environmental internships since 2007. In order to continue funding impactful environmental sustainability projects,new student internships,and sustainability programming and initiatives through the Student Environmental Resource Center at UC Berkeley,do you approve the renewal and increase of The Green Initiative Fund Fee at $8.00 per student per semester?",Proposition C: The Green Initiative Fund Student Fee,"Do you support the Declaration of and Action to Mitigate the Student Housing Crisis which:(1) Declares that UC Berkeley students are suffering from a housing crisis; and,(2) Demands the University of California,Berkeley work in good faith with the ASUC to build at least 6000 additional beds of student housing near campus and run by the university or a housing nonprofit (such as the Berkeley Student Cooperative) over the next 10 years; and,(3) Directs the ASUC to create and regularly update a comprehensive plan for addressing the student housing crisis?",Proposition D: Declaration of and Action to Mitigate the Student Housing Crisis,President - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",President - 2,President - 3,President - 4,President - 5,Executive Vice President - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",Executive Vice President - 2,Executive Vice President - 3,External Affairs Vice President - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",External Affairs Vice President - 2,External Affairs Vice President - 3,Academic Affairs Vice President - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",Academic Affairs Vice President - 2,Academic Affairs Vice President - 3,Student Advocate - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",Student Advocate - 2,Senate - 1,"Rank candidates in order of your preference. You may rank some,all,or none of the candidates.",Senate - 2,Senate - 3,Senate - 4,Senate - 5,Senate - 6,Senate - 7,Senate - 8,Senate - 9,Senate - 10,Senate - 11,Senate - 12,Senate - 13,Senate - 14,Senate - 15,Senate - 16,Senate - 17,Senate - 18,Senate - 19,Senate - 20,Senate - 21,Senate - 22,Senate - 23,Senate - 24,Senate - 25,Senate - 26,Senate - 27,Senate - 28,Senate - 29,Senate - 30,Senate - 31,Senate - 32,Senate - 33,Senate - 34,Senate - 35,Senate - 36,Senate - 37,Senate - 38,Senate - 39,Senate - 40,Senate - 41,Senate - 42,Senate - 43,Senate - 44,Senate - 45,Senate - 46
1662360,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,XIAO LI | Student Action | International,,"JAY CHOI | Student Action | Coordinator, East Asian Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstain,,Abstain,,Abstain,,Abstain,"Will Morrow | Student Action | ASUC Senator, Governance Committee Chair",,,,,,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,,,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662362,,Yes,,No,,Abstain,,Abstain,"Will Morrow | Student Action | ASUC Senator, Governance Committee Chair",,,,,,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,,,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,,,"Frances McGinley | Student Action | Co-Chair, Greeks Against Sexual Assault",,,,,,,"JAY CHOI | Student Action | Coordinator, East Asian Union",,JENNY KIM | CalSERVE | EVP Student Org Services Coordinator,XIAO LI | Student Action | International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstain,,No,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,JENNY KIM | CalSERVE | EVP Student Org Services Coordinator,,"JAY CHOI | Student Action | Coordinator, East Asian Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstain,,Abstain,,Abstain,,Abstain,"Will Morrow | Student Action | ASUC Senator, Governance Committee Chair",,,,,,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,,,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,,,"Frances McGinley | Student Action | Co-Chair, Greeks Against Sexual Assault",,,,,,,XIAO LI | Student Action | International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,Yes,"Sheena Paul | CalSERVE | Senator,Sexual Assualt Commissioner",,"James Bacon | Independent | Government for all bears, by all bears","Andrea ""Kira the Husky"" Rose | SQUELCH!","Will Morrow | Student Action | ASUC Senator, Governance Committee Chair","Michael ""DAAP"" Cortez-Mejia | Independent","Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,"Thomas ""DAAP"" Moore | Independent","Wes Adrianson | CalSERVE | ASUC Senator, Former EVP Coordinator",Boomer Vicente | CalSERVE | ASUC Senator & Housing Commissioner,,"Aarefah ""DAAP"" Mosavi | Independent","ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,,,,,,,XIAO LI | Student Action | International,,"MIRANDA HERNANDEZ | Student Action | Pre-Law, Greek, Student Safety Candidate","Wesley Wan | Student Action | Director's Intern, BDC Dance Board",Fred Nichols | Student Action | Student Worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662366,,Yes,,No,,Yes,,Yes,"Sheena Paul | CalSERVE | Senator,Sexual Assualt Commissioner",,"Andrea ""Kira the Husky"" Rose | SQUELCH!","Will Morrow | Student Action | ASUC Senator, Governance Committee Chair",,,"Wes Adrianson | CalSERVE | ASUC Senator, Former EVP Coordinator",,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,Boomer Vicente | CalSERVE | ASUC Senator & Housing Commissioner,,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,"Kathy Tran | CalSERVE | Senator, Berkeley Student Found. Board",,,,Selina Lao | Independent | ASUC Student Advocate Chief of Staff,,,JENNY KIM | CalSERVE | EVP Student Org Services Coordinator,,Alyssa Liu | CalSERVE | Community Service and Out-of-State Students,"Maddy Abroms | CalSERVE | AAVP Director of REST Zones, Tour Guide","Rosa Kwak | CalSERVE | Business Operations Director (EVP), Res-Hall",Juli Adhikari | CalSERVE | ASUC EAVP Local Affairs Co-Director,Helen Yuan | Student Action | Former EVP Intern,XIAO LI | Student Action | International,Elise Hayashi | Student Action | Community Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,"Sheena Paul | CalSERVE | Senator,Sexual Assualt Commissioner",,"Will Morrow | Student Action | ASUC Senator, Governance Committee Chair","Andrea ""Kira the Husky"" Rose | SQUELCH!","James Bacon | Independent | Government for all bears, by all bears","Michael ""DAAP"" Cortez-Mejia | Independent","Wes Adrianson | CalSERVE | ASUC Senator, Former EVP Coordinator",,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,Boomer Vicente | CalSERVE | ASUC Senator & Housing Commissioner,,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,"Kathy Tran | CalSERVE | Senator, Berkeley Student Found. Board",,"Frances McGinley | Student Action | Co-Chair, Greeks Against Sexual Assault",,Selina Lao | Independent | ASUC Student Advocate Chief of Staff,,,"Rosa Kwak | CalSERVE | Business Operations Director (EVP), Res-Hall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662368,,Yes,,Yes,,Yes,,Yes,"Will Morrow | Student Action | ASUC Senator, Governance Committee Chair",,,,,,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,,,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,,,"Frances McGinley | Student Action | Co-Chair, Greeks Against Sexual Assault",,,,Selina Lao | Independent | ASUC Student Advocate Chief of Staff,,,"Wesley Wan | Student Action | Director's Intern, BDC Dance Board",,Fred Nichols | Student Action | Student Worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,No,,Yes,"Will Morrow | Student Action | ASUC Senator, Governance Committee Chair",,,,,,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,"Thomas ""DAAP"" Moore | Independent","Wes Adrianson | CalSERVE | ASUC Senator, Former EVP Coordinator","ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,Boomer Vicente | CalSERVE | ASUC Senator & Housing Commissioner,"Aarefah ""DAAP"" Mosavi | Independent","Frances McGinley | Student Action | Co-Chair, Greeks Against Sexual Assault",,"Kathy Tran | CalSERVE | Senator, Berkeley Student Found. Board","Nancy ""DAAP"" Murillo | Independent","Stephanie Nicole ""DAAP"" Garcia | Independent",,Selina Lao | Independent | ASUC Student Advocate Chief of Staff,"JAY CHOI | Student Action | Coordinator, East Asian Union",,XIAO LI | Student Action | International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,"Sheena Paul | CalSERVE | Senator,Sexual Assualt Commissioner",,,,,,"Wes Adrianson | CalSERVE | ASUC Senator, Former EVP Coordinator",,"Thomas ""DAAP"" Moore | Independent",,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,Boomer Vicente | CalSERVE | ASUC Senator & Housing Commissioner,,"Kathy Tran | CalSERVE | Senator, Berkeley Student Found. Board",,,,,,,JENNY KIM | CalSERVE | EVP Student Org Services Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Abstain,,Yes,,Yes,,,,,,,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,,,,,,,,,,,,,,XIAO LI | Student Action | International,,JENNY KIM | CalSERVE | EVP Student Org Services Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,No,"Will Morrow | Student Action | ASUC Senator, Governance Committee Chair",,,,,,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,,,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,,,"Frances McGinley | Student Action | Co-Chair, Greeks Against Sexual Assault",,,,Selina Lao | Independent | ASUC Student Advocate Chief of Staff,,,PAUL ISKAJYAN | Student Action | Resident Assistant,,Helen Yuan | Student Action | Former EVP Intern,ANNIE TRAN | Student Action | Cal1Card Digitalization Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,No,"Will Morrow | Student Action | ASUC Senator, Governance Committee Chair",,"Sheena Paul | CalSERVE | Senator,Sexual Assualt Commissioner",,,,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,,,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,,,"Frances McGinley | Student Action | Co-Chair, Greeks Against Sexual Assault",,,,Selina Lao | Independent | ASUC Student Advocate Chief of Staff,,,"JAY CHOI | Student Action | Coordinator, East Asian Union",,"Rosa Kwak | CalSERVE | Business Operations Director (EVP), Res-Hall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662374,,Yes,,Abstain,,No,,Yes,"Will Morrow | Student Action | ASUC Senator, Governance Committee Chair",,,,,,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,,,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,,,"Frances McGinley | Student Action | Co-Chair, Greeks Against Sexual Assault",,,,,,,XIAO LI | Student Action | International,,"JAY CHOI | Student Action | Coordinator, East Asian Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662375,,Yes,,Yes,,Yes,,Yes,"Will Morrow | Student Action | ASUC Senator, Governance Committee Chair",,,,,,"Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder",,,,"ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,,,"Frances McGinley | Student Action | Co-Chair, Greeks Against Sexual Assault",,,,Selina Lao | Independent | ASUC Student Advocate Chief of Staff,,,"MIRANDA HERNANDEZ | Student Action | Pre-Law, Greek, Student Safety Candidate",,Nathan Kelleher | Student Action | Former CalSO Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstain,,Yes,,Yes,,Yes,"Sheena Paul | CalSERVE | Senator,Sexual Assualt Commissioner",,"Andrea ""Kira the Husky"" Rose | SQUELCH!","Michael ""DAAP"" Cortez-Mejia | Independent","James Bacon | Independent | Government for all bears, by all bears","Will Morrow | Student Action | ASUC Senator, Governance Committee Chair","Wes Adrianson | CalSERVE | ASUC Senator, Former EVP Coordinator",,"Thomas ""DAAP"" Moore | Independent","Alicia Lau | Student Action | ASUC Senator, Non-Profit Founder","ANDRE LUU | Student Action | ASUC Senator, Financial Wellness Chair",,Boomer Vicente | CalSERVE | ASUC Senator & Housing Commissioner,"Aarefah ""DAAP"" Mosavi | Independent","Kathy Tran | CalSERVE | Senator, Berkeley Student Found. Board",,"Frances McGinley | Student Action | Co-Chair, Greeks Against Sexual Assault","Nancy ""DAAP"" Murillo | Independent","Stephanie Nicole ""DAAP"" Garcia | Independent",,Selina Lao | Independent | ASUC Student Advocate Chief of Staff,XIAO LI | Student Action | International,,"Julia ""DAAP"" Osborne | Independent",Alaa Aissi | Independent | Regents' and Chancellor's Scholar,"Nancy ""DAAP"" Murillo | Independent",John Bosshard | Independent,"David ""DAAP"" Colby | Independent","Thomas ""DAAP"" Moore | Independent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
