 
President,count 1,count 2,count 3,count 4,count 5,count 6,count 7,count 8,count 9,count 10,count 11,count 12,count 13
Zaynab AbdulQadir-Morris,4157.0,4157.0,4157.0,4170.0,4170.0,4170.0,4170.0,4170.0,2151.0,4170.0,2151.0,4170.0,2151.0
Andre Luu,3266,3266,3266,3275,3275,3275,3275,3275,0,3275,0,3275,0
"Ethan ""Ghost"" Schlatter",538,538,538,538,538,538,538,538,0,538,0,538,0
Richard Alvarado,223,223,223,226,226,226,226,226,226,226
 
Executive VP,count 1
Helen Yuan,3298.0
 
External Affairs VP,count 1,count 2
Rigel Robinson,3759.0,3771.0
Raj Bhargava,2391,2397
Gabriela Takahashi,481,484
 
Academic Affairs VP,count 1
Iyan Bullitt,3032.0
 
Student Advocate,count 1,count 2
Jillian Free,2697.0,2697.0
Asahi Hardy,1182,1182
 
Senator,count 1,count 2,count 3,count 4,count 5,count 6,count 7,count 8,count 9,count 10,count 11,count 12,count 13,count 14,count 15,count 16,count 17,count 18,count 19,count 20,count 21,count 22,count 23,count 24,count 25,count 26,count 27
Juniperangelica Cordova,445.0,445.0,447.0,447.0,447.0,447.0,447.0,22.493621441652227,447.0,22.493621441652227,0,544.0,7,544.0,7,544.0,7,544.0,7,0,447.0,1.0345498660673857,0,447.0,22.50491855117341,447.0,24.3453478098715
Taehan Lee,445.0,445.0,447.0,447.0,447.0,447.0,447.0,0.0,447.0,-5.551115123125783e-16,0,544.0,14.119722099438766,544.0,14.119722099438766,544.0,7.004326439397983,544.0,14.119722099438766,0,447.0,26.0,0.03454986606738579,447.0,-1.97758476261356e-16,447.0,0.036172656022040395
Lynn Shiung,445.0,445.0,447.0,447.0,447.0,447.0,447.0,-4.996003610813204e-16,447.0,-1.1102230246251565e-16,0,544.0,2.4582325113401646,544.0,0.006674271800531445,544.0,0.006674271800531445,544.0,0.006674271800531445,0,447.0,7.939867227469122,7.856567096232405,447.0,6.870832760886928,447.0,0.14340963968431664
Nuha Khalfay,445.0,445.0,447.0,447.0,447.0,447.0,447.0,0,447.0,0,0,544.0,0.006674271800531445,544.0,1.4501844390705318,544.0,14.119722099438766,544.0,2.4582325113401646,0,447.0,10.617700634754126,11.877954092624474,447.0,-8.673617379884035e-17,447.0,0.25096686944755264
Alexander Wilfert,445.0,445.0,447.0,447.0,447.0,447.0,447.0,0.0,447.0,0.0,0,544.0,1,544.0,1,544.0,1,544.0,1.4501844390705318,0,447.0,216.02022289536927,9.0,447.0,-1.1102230246251565e-16,447.0,-2.220446049250313e-16
